ID;Variante;Etiqueta;Título;Texto de Ambientación;Efecto
L01;A;"ANOCHECER";"ACCIDENTES LABORALES";"Los niños están ahora expuestos a accidentes en el trabajo. Si no proporcionamos una buena atención médica, algunos podrían incluso pagar el precio con sus jóvenes vidas.";"**Si tienes Cuidado activo:** Por cada Meeple de Niño usado para realizar una acción esta Ronda, gana 1 Niño enfermo. **En caso contrario:** Por cada Meeple de Niño usado para realizar una acción esta Ronda, gana 2 Niños enfermos."
L01;B;"ANOCHECER";"DERECHOS DE LOS PADRES";"Los padres no permitirán que sus hijos estén en peligro trabajando en tales condiciones. Organizaron una protesta y gritaron: ""¡Dejad que sean niños!"" y ""¡No lastiméis a nuestros hijos!"".";"**Si tienes Ira activa:** Coloca 1 ficha de Trabajador / Ingeniero Agotado y 2 fichas de Niño Agotado en el suministro. **En caso contrario:** Coloca 1 ficha de Trabajador / Ingeniero Agotado y 1 ficha de Niño Agotado en el suministro."
L02;A;"ANOCHECER";"EDUCACIÓN INFANTIL – JÓVENES MÉDICOS";"Gracias a su educación especializada, los niños pueden ayudarnos con los enfermos.";"**Si el Refugio Infantil está construido:** Por cada Meeple de Niño, Cura 1. **En caso contrario:** -2 Esperanza. Baraja esta carta de nuevo en el mazo de Anochecer."
L02;B;"ANOCHECER";"EDUCACIÓN INFANTIL – MENTES BRILLANTES";"Tras recibir cursos intensivos y formación in situ de nuestros ingenieros, los jóvenes aprendices ayudaron a progresar significativamente nuestra investigación tecnológica. Sus ideas brillantes y entusiasmo encontraron terreno fértil.";"**Si el Refugio Infantil está construido:** Elige uno: A) Mueve la ficha de Desarrollo 1 espacio hacia atrás en el track de Ronda. B) Mejora un Edificio Pequeño pagando su coste de mejora, incluso si ese Edificio ha sido usado en esta Ronda. **En caso contrario:** -2 Esperanza. Baraja esta carta de nuevo en el mazo de Anochecer."
L03;A;"ANOCHECER";"UNA BARRIGA LLENA DE MENTIRAS";"Debido al aserrín añadido a las comidas, se sentían más saciantes. Nuestra gente echaba de menos la sensación de tener la barriga llena, la pura alegría de comer tanto como uno quiera. Muchos de ellos se atiborraron de comida.";"**Si el nivel de Hambre es 1 o más:** Gana 2 Ciudadanos enfermos (del tipo de la Ronda actual). Reduce el Hambre en 3."
L03;B;"ANOCHECER";"¡NO ES SALUDABLE, PERO SABE GENIAL!";"Uno de los cocineros usó humo para darle al aserrín un poco de sabor antes de añadirlo al guiso. El sabor era tan bueno que mucha gente pidió repetir y dijo que era ""la primera comida decente desde que empezó todo este maldito calvario"".";"-1 Descontento. Luego, elige uno: A) Gana 3 Trabajadores enfermos. B) Gana 3 Ingenieros enfermos."
L04;A;"ANOCHECER";"¡EL MUNDO DA MENOS MIEDO CON LA BARRIGA LLENA!";"No es un gran descubrimiento que los jóvenes tengan más energía, pero necesitan combustible para tener esa energía. Si podemos proporcionar comidas calientes a los niños, pueden ayudar a quitar la nieve.";"Coloca esta carta sobre la carta de Ley de Comidas Calientes. Ignora la carta de Ley de Comidas Calientes mientras esta carta la esté cubriendo. Siempre que realices una acción con un Meeple de Ciudadano, puedes gastar 2 de Comida para contar esa acción como calentada. Puedes gastar 3 de Comida para realizar la acción de Quitar Nieve con un Meeple de Niño. Esa acción cuenta como calentada."
L04;B;"ANOCHECER";"HAMBRIENTOS DE TRABAJO";"La promesa de comida caliente adicional ha tentado a algunos de los ciudadanos a hacer trabajo extra.";"Reutiliza un Trabajador."
L05;A;"ANOCHECER";"HACINAMIENTO";"Todos quieren una pizca de privacidad y comodidad. Los alojamientos abarrotados han robado esto a nuestra gente. Si tienen que soportar tanto el frío como la falta de este confort esencial, protestarán.";"Coloca esta carta sobre la carta de Ley de Alojamientos Abarrotados. Ignora la carta de Ley de Alojamientos Abarrotados mientras esta carta la esté cubriendo. **FASE DE NOCHE:** Al final de la Fase de Noche: **Si hay algún Meeple de Ciudadano sin un lugar cálido para dormir:** +1 Descontento. Coloca esta carta en la pila de descartes de Anochecer."
L05;B;"ANOCHECER";"AMA A TU PRÓJIMO";"Los alojamientos abarrotados son la causa de violencia y abuso entre los ocupantes. Hay acusaciones de robo, adulterio y muchas otras. Después de todo, nuestra decisión ha forzado a la gente a vivir con extraños en un espacio confinado.";"+1 Ira. Gana 1 Ciudadano enfermo. Luego, por cada Ira activa, gana otros 2 Ciudadanos enfermos."
L06;A;"ANOCHECER";"CONDICIONES INSEGURAS";"";"Coloca esta carta sobre la carta de Ley de Refugios Improvisados. Ignora la carta de Ley de Refugios Improvisados mientras esta carta la esté cubriendo. **FASE DE NOCHE:** Al final de la Fase de Noche: **Si todos los Meeples de Ciudadano tienen un lugar cálido para dormir:** *Los ciudadanos aprecian no tener que usar más los refugios improvisados. Las condiciones no eran seguras ni agradables. Muchos ven la situación actual como una señal de buena gestión.* -1 Descontento. **En caso contrario:** *La nevada fue fuerte y los techos de los refugios improvisados no aguantaron el peso. Deben hacerse reparaciones. Muchos tendrán que enfrentar la noche sin un techo sobre sus cabezas.* Sin Efecto. **En cualquier caso:** Coloca esta carta en la pila de descartes de Anochecer."
L06;B;"ANOCHECER";"ESTRUCTURAS INESTABLES";"";"Coloca esta carta en el despliegue de Eventos. **FASE DE NOCHE:** Al final de la Fase de Noche: **Si todos los Meeples de Ciudadano tienen un lugar cálido para dormir sin usar Ruinas:** *El alojamiento en nuestra ciudad es tan bueno como puede ser. Es bueno saber que un techo y una cama caliente esperan al final del día.* +1 Esperanza. **En caso contrario:** *¡Algunos de nosotros todavía dormimos en el frío, y el resto apenas duerme en esas chozas improvisadas que te atreves a llamar refugios! ¡Tenemos suerte si no se nos derrumban encima cuando alguien estornuda fuerte!* Agota Cuidado. -1 Esperanza. **En cualquier caso:** Coloca esta carta en la pila de descartes de Anochecer."
L07;A;"ANOCHECER";"EL PUÑO DE HIERRO DEL ORDEN";"El Orden lo abarca todo. Con una eficacia despiadada, el sistema recién formado impone la obediencia absoluta de los ciudadanos. Sus cimientos se construyen sobre la falta de alternativas y el pisoteo de los espíritus de la gente bajo su pesada bota para aplastar cualquier pensamiento de revolución.";"**Si todas tus fichas de Esperanza están agotadas:** Puedes activar todas las fichas de Descontento de un tipo. Por cada ficha que actives, aplica el siguiente efecto: Codicia: Toma 1 Recurso del Mapa y colócalo en el suministro. Apatía: Cura 2 o Trata 1. Ira: Coloca 1 loseta Cercana o 1 loseta Lejana. **En caso contrario:** Por cada tipo de ficha de Esperanza activa, en el siguiente orden, aplica el efecto correspondiente: Justicia: 1 Ciudadano muere. Motivación: Gana 3 Ciudadanos enfermos. Cuidado: Coloca 1 ficha de Trabajador / Ingeniero Agotado en el suministro."
L07;B;"ANOCHECER";"SI NO ESTÁN CON NOSOTROS...";"Las regulaciones introducidas por El Orden afectan a casi todos los aspectos de la vida de nuestros ciudadanos. Una persona no es más que una estadística en el ciego funcionamiento del aparato que se traga a aquellos que no pueden aceptar el nuevo orden de las cosas.";"**Si todas tus fichas de Esperanza están agotadas:** Puedes activar todas las fichas de Descontento de un tipo. Por cada ficha que actives, aplica el siguiente efecto: Codicia: Gana 4 Comida. Apatía: Cura 2 o Trata 1. Ira: Toma 1 Recurso del Mapa y colócalo en el suministro. **En caso contrario:** Por cada tipo de ficha de Esperanza activa, en el siguiente orden, aplica el efecto correspondiente: Justicia: Activa todo el Descontento de un tipo. Motivación: Voltea 1 marcador de Enfermedad. Cuidado: Aumenta el Hambre en 4."
