ID;Etiqueta;Título;Texto de Ambientación;Efecto
SD01;DISPUTA SOCIAL;INCERTIDUMBRE;No creo que debamos decirles lo que vamos a hacer por adelantado. Déjalos pensar. Y preocuparse.;**Si tienes alguna Esperanza o Descontento activo:** Por tu ficha activa más común (o por todas las empatadas como más comunes), realiza el efecto(s) correspondiente(s): Codicia: Por cada Codicia activa, aumenta el Hambre en 3. Apatía: Por cada Apatía activa, voltea 1 marcador de Enfermedad. Ira: Por cada Ira activa, gana 2 Ciudadanos enfermos. Motivación: Toma 1 Recurso del Mapa y colócalo en el suministro. Luego, por cada Motivación activa, toma otro 1 Recurso del Mapa y colócalo en el suministro. Por cada Recurso que no puedas tomar, gana 1 Carbón. Cuidado: Por cada Cuidado activo, Cura 2. Justicia: Por cada Justicia activa, agota 1 Descontento o activa 1 Esperanza.
SD02;DISPUTA SOCIAL;INDECISIÓN;El riesgo de una mala decisión es preferible al terror de la indecisión.;**Si tienes alguna Esperanza o Descontento activo:** Por tu ficha activa más común (o por todas las empatadas como más comunes), realiza el efecto(s) correspondiente(s): Codicia: Por cada Codicia activa, aumenta el Hambre en 3. Apatía: Por cada Apatía activa, voltea 1 marcador de Enfermedad. Ira: Por cada Ira activa, gana 2 Ciudadanos enfermos. Motivación: Toma 1 Recurso del Mapa y colócalo en el suministro. Luego, por cada Motivación activa, toma otro 1 Recurso del Mapa y colócalo en el suministro. Por cada Recurso que no puedas tomar, gana 1 Carbón. Cuidado: Por cada Cuidado activo, Cura 2. Justicia: Por cada Justicia activa, agota 1 Descontento o activa 1 Esperanza.
SD03;DISPUTA SOCIAL;CONFUSIÓN;Si no podemos convencerlos, los confundiremos.;"**Si tienes más fichas de Esperanza que de Descontento:** Puedes agotar 1 Esperanza para realizar el efecto correspondiente: Justicia: Descarta 1 ficha de Descontento. Cuidado: Cura 3 o Trata 3. Motivación: Reutiliza un Trabajador. **Si tienes menos fichas de Esperanza que de Descontento:** Por tu ficha de Descontento activa más común (si no hay activas, Codicia; si hay empate por la mayoría, la primera de la lista), realiza el efecto correspondiente: Codicia: Pierde 3 Recursos. Por cada uno que no puedas perder, aumenta el Hambre en 2. Ira: 1 Ciudadano muere. Apatía: Coloca 1 ficha de Trabajador Agotado en el suministro. **Si tienes el mismo número de fichas de Esperanza y Descontento:** Activa 1 Esperanza. Activa 1 Descontento."
SD04;DISPUTA SOCIAL;DESCONFIANZA;La confianza muere pero la desconfianza florece.;"**Si tienes más fichas de Esperanza que de Descontento:** Puedes agotar 1 Esperanza para realizar el efecto correspondiente: Justicia: Introduce una nueva Ley. Si ya tienes 4 Leyes, agota todo el Descontento. Cuidado: Cura 3 o Trata 3. Motivación: Reutiliza un Trabajador. **Si tienes menos fichas de Esperanza que de Descontento:** Por tu ficha de Descontento activa más común (si no hay activas, Apatía; si hay empate por la mayoría, la primera de la lista), realiza el efecto correspondiente: Apatía: Agota toda la Esperanza. Codicia: Pierde 3 Recursos. Por cada uno que no puedas perder, aumenta el Hambre en 2. Ira: 1 Ciudadano muere. **Si tienes el mismo número de fichas de Esperanza y Descontento:** Activa 1 Esperanza. Activa 1 Descontento."
SD05;DISPUTA SOCIAL;SOSPECHA;La sospecha siempre persigue a las mentes culpables.;"**Si tienes más fichas de Esperanza que de Descontento:** Puedes agotar 1 Esperanza para realizar el efecto correspondiente: Justicia: Descarta 1 ficha de Descontento. Cuidado: Cura 3 o Trata 3. Motivación: Construye un Edificio que cueste hasta 2 Madera gratis. **Si tienes menos fichas de Esperanza que de Descontento:** Por tu ficha de Descontento activa más común (si no hay activas, Ira; si hay empate por la mayoría, la primera de la lista), realiza el efecto correspondiente: Ira: Destruye un Edificio ocupado por un Meeple de Ciudadano. Apatía: Coloca 1 ficha de Trabajador Agotado en el suministro. Codicia: Pierde 3 Recursos. Por cada uno que no puedas perder, aumenta el Hambre en 2. **Si tienes el mismo número de fichas de Esperanza y Descontento:** Activa 1 Esperanza. Activa 1 Descontento."
SD06;DISPUTA SOCIAL;RECELO;Tenemos que desconfiar los unos de los otros. Es nuestra única defensa contra la traición.;"**Si tienes más fichas de Esperanza que de Descontento:** Puedes agotar 1 Esperanza para realizar el efecto correspondiente: Justicia: Descarta 1 ficha de Descontento. Cuidado: Construye un Puesto Médico mejorado gratis. Motivación: Reutiliza un Trabajador. **Si tienes menos fichas de Esperanza que de Descontento:** Por tu ficha de Descontento activa más común (si no hay activas, Codicia; si hay empate por la mayoría, la primera de la lista), realiza el efecto correspondiente: Codicia: Elimina 4 Carbón y/o Madera del Mapa y colócalo en el banco. Ira: 1 Ciudadano muere. Apatía: Coloca 1 ficha de Trabajador Agotado en el suministro. **Si tienes el mismo número de fichas de Esperanza y Descontento:** Activa 1 Esperanza. Activa 1 Descontento."
SD07;DISPUTA SOCIAL;DUDA;La inacción genera duda. La acción genera confianza y coraje.;**Si tienes más Esperanza activa que Descontento activo, elige uno:** A) Elimina hasta 4 cubos de Estrés del track de Estrés. B) Mejora 1 Edificio Pequeño gratis. **En caso contrario, elige uno:** A) Pierde 2 Trabajadores, 2 Ingenieros y 1 Niño. B) Coloca 3 cubos de Estrés en el track de Estrés.
SD08;DISPUTA SOCIAL;MIEDO;El miedo lleva a la ira, la ira lleva al odio, el odio lleva al sufrimiento.;**Si tienes más Esperanza activa que Descontento activo, elige uno:** A) Elimina hasta 4 cubos de Estrés del track de Estrés. B) Gana Comida igual al número de Ronda. **En caso contrario, elige uno:** A) Por cada Meeple de Niño, gana 1 Niño enfermo. B) Destruye 2 Edificios ocupados por Meeples de Ciudadano.
SD09;DISPUTA SOCIAL;DISCUSIÓN;"La conversación es un intercambio de conocimiento; una discusión un intercambio de ignorancia.";**Si no tienes Descontento activo, elige uno:** A) -1 Descontento. B) Coloca 1 loseta Cercana o 1 loseta Lejana. C) Realiza 2 efectos de Taller. **En caso contrario:** Por cada tipo de Descontento activo que tengas, realiza el efecto correspondiente: Codicia: Aumenta el Hambre en 3. Apatía: Coloca 1 ficha de Trabajador Agotado en el suministro. Ira: Gana 2 Ciudadanos enfermos.
SD10;DISPUTA SOCIAL;DESESPERACIÓN;Si los tiempos desesperados requieren medidas desesperadas, entonces somos libres de actuar tan desesperadamente como deseemos.;**Si tienes fichas de Esperanza activas de cada tipo, elige uno:** A) -1 Descontento. B) Coloca 1 loseta Cercana o 1 loseta Lejana. C) Realiza 2 efectos de Taller. **En caso contrario:** Por cada tipo de Esperanza activa que NO tengas, realiza el efecto correspondiente: Cuidado: Voltea 1 marcador de Enfermedad. Motivación: Coloca 1 ficha de Trabajador Agotado en el suministro. Justicia: Agota 1 Esperanza. Si no puedes, +1 Descontento.
